name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.8,1,"[32, 256, 1, 1]",False,512,0.8,align=0.99,wv_squarelin_aligns,0.887499988079071,0.977500021457672,0.8104166666666667,0.9320833333333332,0.74625,0.94125,0.9631203413009644,0.977500021457672,0.9775,0.8899999856948853,0.99
TN,1,"[32, 256, 1, 1]",False,512,0.0,align=0.99,wv_squarelin_aligns,0.9800000190734864,0.3725000023841858,0.5920833333333333,0.99125,0.5158333333333333,0.9929166666666666,0.9762469530105592,0.3725000023841858,0.9825,0.6775000095367432,0.99
MTL0.5,1,"[32, 256, 1, 1]",False,512,0.5,align=0.99,wv_squarelin_aligns,0.962499976158142,0.975000023841858,0.9170833333333334,0.97125,0.8775000000000001,0.9770833333333332,0.9694961309432985,0.975000023841858,0.975,0.959999978542328,0.99
MTL0.2,1,"[32, 256, 1, 1]",False,512,0.2,align=0.99,wv_squarelin_aligns,0.987500011920929,0.975000023841858,0.9358333333333334,0.9729166666666664,0.9083333333333332,0.97875,0.9694961309432985,0.975000023841858,0.9875,0.9850000143051147,0.99
TN,1,"[1, 1, 1, 1]",False,512,0.0,align=0.95,wv_squarelin_aligns,0.9474999904632568,0.6899999976158142,0.8125,0.9791666666666666,0.7616666666666667,0.9858333333333332,0.9658750295639038,0.6899999976158142,0.95,0.8349999785423279,0.95
MTL0.8,1,"[1, 1, 1, 1]",False,512,0.8,align=0.95,wv_squarelin_aligns,0.9399999976158142,0.9800000190734864,0.9375,0.95375,0.9054166666666666,0.9758333333333332,0.9632500410079956,0.9800000190734864,0.98,0.9424999952316284,0.95
MTL0.5,1,"[1, 1, 1, 1]",False,512,0.5,align=0.95,wv_squarelin_aligns,0.962499976158142,0.959999978542328,0.9354166666666668,0.9341666666666668,0.9045833333333334,0.9654166666666666,0.9542500376701356,0.959999978542328,0.985,0.9524999856948853,0.95
MTL0.2,1,"[1, 1, 1, 1]",False,512,0.2,align=0.95,wv_squarelin_aligns,0.949999988079071,0.9800000190734864,0.9495833333333332,0.96625,0.9258333333333332,0.9808333333333332,0.9686250686645508,0.9800000190734864,0.9725,0.959999978542328,0.95
TN,1,"[1, 0, 1, 1]",False,512,0.0,align=0.84,wv_squarelin_aligns,0.7825000286102295,0.5099999904632568,0.84375,0.9895833333333334,0.8291666666666666,0.99625,0.9751250743865968,0.5099999904632568,0.8175,0.6424999833106995,0.84
MTL0.8,1,"[1, 0, 1, 1]",False,512,0.8,align=0.84,wv_squarelin_aligns,0.8174999952316284,0.977500021457672,0.9595833333333332,0.98625,0.9520833333333334,0.98875,0.9726250171661376,0.977500021457672,0.975,0.8199999928474426,0.84
MTL0.2,1,"[1, 0, 1, 1]",False,512,0.2,align=0.84,wv_squarelin_aligns,0.800000011920929,0.9300000071525574,0.9629166666666666,0.9883333333333332,0.9475,0.9920833333333334,0.9781250357627868,0.9300000071525574,0.9725,0.7799999713897705,0.84
MTL0.5,1,"[1, 0, 1, 1]",False,512,0.5,align=0.84,wv_squarelin_aligns,0.8324999809265137,0.9649999737739564,0.9545833333333332,0.9845833333333336,0.9429166666666666,0.9916666666666668,0.9736250638961792,0.9649999737739564,0.9825,0.8174999952316284,0.84
TN,1,"[0, 1, 1, 1]",False,512,0.0,align=0.56,wv_squarelin_aligns,0.5274999737739563,0.5099999904632568,0.97125,0.9945833333333334,0.95125,0.9908333333333332,0.9690000414848328,0.5099999904632568,0.65,0.4950000047683716,0.56
MTL0.8,1,"[0, 1, 1, 1]",False,512,0.8,align=0.56,wv_squarelin_aligns,0.6949999928474426,0.975000023841858,0.9454166666666668,0.985,0.91875,0.9729166666666668,0.9633750319480896,0.975000023841858,0.9775,0.6949999928474426,0.56
MTL0.5,1,"[0, 1, 1, 1]",False,512,0.5,align=0.56,wv_squarelin_aligns,0.6549999713897705,0.9825000166893004,0.9583333333333334,0.9875,0.94125,0.98,0.9676250219345092,0.9825000166893004,0.9775,0.6549999713897705,0.56
MTL0.2,1,"[0, 1, 1, 1]",False,512,0.2,align=0.56,wv_squarelin_aligns,0.6575000286102295,0.9825000166893004,0.9716666666666668,0.9883333333333332,0.9470833333333332,0.9812499999999998,0.97712504863739,0.9825000166893004,0.9725,0.6650000214576721,0.56
TN,0,"[32, 256, 1, 1]",False,512,0.0,align=0.99,wv_squarelin_aligns,0.9800000190734864,0.4724999964237213,0.6891666666666666,0.9829166666666668,0.6420833333333333,0.9941666666666666,0.9734966158866882,0.4724999964237213,0.98,0.7950000166893005,0.99
MTL0.8,0,"[32, 256, 1, 1]",False,512,0.8,align=0.99,wv_squarelin_aligns,0.9225000143051147,0.9800000190734864,0.8045833333333333,0.9270833333333334,0.755,0.9116666666666668,0.9628702998161316,0.9800000190734864,0.98,0.9175000190734864,0.99
MTL0.2,0,"[32, 256, 1, 1]",False,512,0.2,align=0.99,wv_squarelin_aligns,0.975000023841858,0.987500011920929,0.9358333333333334,0.9720833333333332,0.9091666666666668,0.9770833333333332,0.9757469296455384,0.987500011920929,0.9875,0.9800000190734864,0.99
MTL0.5,0,"[32, 256, 1, 1]",False,512,0.5,align=0.99,wv_squarelin_aligns,0.962499976158142,0.975000023841858,0.9133333333333334,0.9645833333333332,0.8816666666666667,0.96375,0.9702462553977966,0.975000023841858,0.9775,0.9649999737739564,0.99
TN,0,"[1, 1, 1, 1]",False,512,0.0,align=0.95,wv_squarelin_aligns,0.9449999928474426,0.6100000143051147,0.8145833333333332,0.95875,0.7566666666666667,0.9779166666666668,0.9675000309944152,0.6100000143051147,0.955,0.7275000214576721,0.95
MTL0.8,0,"[1, 1, 1, 1]",False,512,0.8,align=0.95,wv_squarelin_aligns,0.9399999976158142,0.977500021457672,0.9204166666666668,0.9216666666666667,0.895,0.9529166666666664,0.945625066757202,0.977500021457672,0.9825,0.9375,0.95
MTL0.5,0,"[1, 1, 1, 1]",False,512,0.5,align=0.95,wv_squarelin_aligns,0.9474999904632568,0.962499976158142,0.9320833333333334,0.9254166666666668,0.9020833333333332,0.9579166666666667,0.9506250619888306,0.962499976158142,0.9775,0.9399999976158142,0.95
MTL0.2,0,"[1, 1, 1, 1]",False,512,0.2,align=0.95,wv_squarelin_aligns,0.9399999976158142,0.959999978542328,0.9454166666666666,0.9595833333333332,0.9250000000000002,0.9820833333333332,0.9687500596046448,0.959999978542328,0.985,0.9325000047683716,0.95
TN,0,"[1, 0, 1, 1]",False,512,0.0,align=0.84,wv_squarelin_aligns,0.8025000095367432,0.4900000095367432,0.8520833333333333,0.9941666666666666,0.8220833333333334,0.9945833333333334,0.9727500677108764,0.4900000095367432,0.855,0.6725000143051147,0.84
MTL0.8,0,"[1, 0, 1, 1]",False,512,0.8,align=0.84,wv_squarelin_aligns,0.8600000143051147,0.977500021457672,0.9366666666666664,0.9704166666666666,0.9183333333333332,0.97625,0.9573750495910645,0.977500021457672,0.9775,0.8600000143051147,0.84
MTL0.5,0,"[1, 0, 1, 1]",False,512,0.5,align=0.84,wv_squarelin_aligns,0.8075000047683716,0.9725000262260436,0.9420833333333332,0.9866666666666668,0.92375,0.98375,0.9656250476837158,0.9725000262260436,0.98,0.8100000023841858,0.84
MTL0.2,0,"[1, 0, 1, 1]",False,512,0.2,align=0.84,wv_squarelin_aligns,0.7699999809265137,0.975000023841858,0.9591666666666666,0.98875,0.9416666666666668,0.9895833333333334,0.971375048160553,0.975000023841858,0.975,0.7749999761581421,0.84
TN,0,"[0, 1, 1, 1]",False,512,0.0,align=0.56,wv_squarelin_aligns,0.612500011920929,0.5049999952316284,0.95125,0.9916666666666668,0.9304166666666666,0.9925,0.9731250405311584,0.5049999952316284,0.635,0.5849999785423279,0.56
MTL0.8,0,"[0, 1, 1, 1]",False,512,0.8,align=0.56,wv_squarelin_aligns,0.7099999785423279,0.9800000190734864,0.9529166666666667,0.97875,0.9304166666666666,0.9745833333333334,0.955625057220459,0.9800000190734864,0.98,0.7099999785423279,0.56
MTL0.5,0,"[0, 1, 1, 1]",False,512,0.5,align=0.56,wv_squarelin_aligns,0.7450000047683716,0.9725000262260436,0.965,0.9841666666666667,0.9425,0.9745833333333334,0.9648750424385072,0.9725000262260436,0.975,0.7450000047683716,0.56
MTL0.2,0,"[0, 1, 1, 1]",False,512,0.2,align=0.56,wv_squarelin_aligns,0.6825000047683716,0.977500021457672,0.9725,0.9879166666666668,0.9541666666666666,0.9808333333333332,0.9757500290870668,0.977500021457672,0.9675,0.6850000023841858,0.56
