align,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
0.7,0.75,0.75,0.8
0.7,0.8,0.8,0.6
0.7,0.65,0.65,0.75
0.7,0.6,0.6,0.7
0.7,0.6,0.6,0.75
0.7,0.4,0.35,0.675
0.7,0.65,0.65,0.725
0.7,0.6,0.6,0.75
0.7,0.4,0.35,0.75
0.7,0.7,0.675,0.85
0.775,0.75,0.75,0.8
0.775,0.8,0.8,0.6
0.775,0.65,0.65,0.75
0.775,0.6,0.6,0.7
0.775,0.6,0.6,0.75
0.775,0.4,0.35,0.7
0.775,0.65,0.65,0.725
0.775,0.6,0.6,0.725
0.775,0.425,0.375,0.75
0.775,0.7,0.675,0.85
0.8,0.75,0.75,0.8
0.8,0.8,0.8,0.6
0.8,0.65,0.65,0.75
0.8,0.6,0.6,0.7
0.8,0.6,0.6,0.75
0.8,0.4,0.35,0.7
0.8,0.65,0.65,0.725
0.8,0.6,0.6,0.725
0.8,0.425,0.375,0.75
0.8,0.7,0.675,0.85
0.85,0.75,0.75,0.8
0.85,0.8,0.8,0.6
0.85,0.65,0.65,0.75
0.85,0.6,0.6,0.7
0.85,0.6,0.6,0.75
0.85,0.4,0.35,0.7
0.85,0.65,0.65,0.725
0.85,0.6,0.6,0.725
0.85,0.425,0.375,0.75
0.85,0.7,0.675,0.85
0.9,0.75,0.75,0.8
0.9,0.8,0.8,0.6
0.9,0.65,0.65,0.775
0.9,0.625,0.625,0.7
0.9,0.6,0.6,0.75
0.9,0.425,0.375,0.7
0.9,0.65,0.65,0.725
0.9,0.6,0.6,0.725
0.9,0.425,0.375,0.75
0.9,0.7,0.675,0.85
0.95,0.775,0.775,0.825
0.95,0.8,0.8,0.6
0.95,0.675,0.65,0.8
0.95,0.75,0.725,0.7
0.95,0.65,0.65,0.75
0.95,0.7,0.65,0.7
0.95,0.7,0.7,0.725
0.95,0.7,0.7,0.725
0.95,0.525,0.475,0.75
0.95,0.725,0.7,0.9
1.0,0.9,0.9,0.975
1.0,0.8,0.8,0.7
1.0,0.975,0.925,0.8
1.0,0.975,0.925,0.8
1.0,0.9,0.875,0.95
1.0,0.95,0.9,0.875
1.0,0.775,0.775,0.775
1.0,0.925,0.925,0.95
1.0,0.9,0.85,0.85
1.0,0.9,0.85,0.85
